County,Jurisdiction,Year,Population
Alameda,Alameda,1970," 70,968 "
Alameda,Albany,1970," 15,561 "
Alameda,Berkeley,1970," 114,091 "
Alameda,Dublin,1970, -   
Alameda,Emeryville,1970," 2,681 "
Alameda,Fremont,1970," 100,869 "
Alameda,Hayward,1970," 93,058 "
Alameda,Livermore,1970," 37,703 "
Alameda,Newark,1970," 27,153 "
Alameda,Oakland,1970," 361,561 "
Alameda,Piedmont,1970," 10,917 "
Alameda,Pleasanton,1970," 18,328 "
Alameda,San Leandro,1970," 68,698 "
Alameda,Unincorporated Alameda,1970," 135,134 "
Alameda,Union City,1970," 14,724 "
Alpine,Unincorporated Alpine,1970, 484 
Amador,Amador,1970, 156 
Amador,Ione,1970," 2,369 "
Amador,Jackson,1970," 1,924 "
Amador,Plymouth,1970, 501 
Amador,Sutter Creek,1970," 1,508 "
Amador,Unincorporated Amador,1970," 5,363 "
Butte,Biggs,1970," 1,115 "
Butte,Chico,1970," 19,580 "
Butte,Gridley,1970," 3,534 "
Butte,Oroville,1970," 7,536 "
Butte,Paradise,1970, -   
Butte,Unincorporated Butte,1970," 70,204 "
Calaveras,Angels,1970," 1,710 "
Calaveras,Unincorporated Calaveras,1970," 11,875 "
Colusa,Colusa,1970," 3,842 "
Colusa,Unincorporated Colusa,1970," 7,017 "
Colusa,Williams,1970," 1,571 "
Contra Costa,Antioch,1970," 28,060 "
Contra Costa,Brentwood,1970," 2,649 "
Contra Costa,Clayton,1970," 1,385 "
Contra Costa,Concord,1970," 85,164 "
Contra Costa,Danville,1970, -   
Contra Costa,El Cerrito,1970," 25,190 "
Contra Costa,Hercules,1970, 252 
Contra Costa,Lafayette,1970," 20,484 "
Contra Costa,Martinez,1970," 16,506 "
Contra Costa,Moraga,1970, -   
Contra Costa,Oakley,1970, -   
Contra Costa,Orinda,1970, -   
Contra Costa,Pinole,1970," 13,266 "
Contra Costa,Pittsburg,1970," 21,423 "
Contra Costa,Pleasant Hill,1970," 24,610 "
Contra Costa,Richmond,1970," 79,043 "
Contra Costa,San Pablo,1970," 21,461 "
Contra Costa,San Ramon,1970, -   
Contra Costa,Unincorporated Contra Costa,1970," 176,779 "
Contra Costa,Walnut Creek,1970," 39,844 "
Del Norte,Crescent City,1970," 2,586 "
Del Norte,Unincorporated Del Norte,1970," 11,994 "
El Dorado,Placerville,1970," 5,416 "
El Dorado,South Lake Taho,1970," 12,921 "
El Dorado,Unincorporated El Dorado,1970," 25,496 "
Fresno,Clovis,1970," 13,856 "
Fresno,Coalinga,1970," 6,161 "
Fresno,Firebaugh,1970," 2,517 "
Fresno,Fowler,1970," 2,239 "
Fresno,Fresno,1970," 165,972 "
Fresno,Huron,1970," 1,525 "
Fresno,Kerman,1970," 2,667 "
Fresno,Kingsburg,1970," 3,843 "
Fresno,Mendota,1970," 2,705 "
Fresno,Orange Cove,1970," 3,392 "
Fresno,Parlier,1970," 1,993 "
Fresno,Reedley,1970," 8,131 "
Fresno,San Joaquin,1970," 1,506 "
Fresno,Sanger,1970," 10,088 "
Fresno,Selma,1970," 7,459 "
Fresno,Unincorporated Fresno,1970," 179,275 "
Glenn,Orland,1970," 2,884 "
Glenn,Unincorporated Glenn,1970," 10,552 "
Glenn,Willows,1970," 4,085 "
Humboldt,Arcata,1970," 8,985 "
Humboldt,Blue Lake,1970," 1,112 "
Humboldt,Eureka,1970," 24,337 "
Humboldt,Ferndale,1970," 1,352 "
Humboldt,Fortuna,1970," 4,203 "
Humboldt,Rio Dell,1970," 2,817 "
Humboldt,Trinidad,1970, 300 
Humboldt,Unincorporated Humboldt,1970," 56,586 "
Imperial,Brawley,1970," 13,746 "
Imperial,Calexico,1970," 10,625 "
Imperial,Calipatria,1970," 1,824 "
Imperial,El Centro,1970," 19,272 "
Imperial,Holtville,1970," 3,496 "
Imperial,Imperial,1970," 3,094 "
Imperial,Unincorporated Imperial,1970," 21,260 "
Imperial,Westmorland,1970," 1,175 "
Inyo,Bishop,1970," 3,498 "
Inyo,Unincorporated Inyo,1970," 12,073 "
Kern,Arvin,1970," 5,199 "
Kern,Bakersfield,1970," 69,515 "
Kern,California City,1970," 1,309 "
Kern,Delano,1970," 14,559 "
Kern,Maricopa,1970, 740 
Kern,Mc Farland,1970," 4,177 "
Kern,Ridgecrest,1970," 7,629 "
Kern,Shafter,1970," 5,327 "
Kern,Taft,1970," 4,285 "
Kern,Tehachapi,1970," 4,211 "
Kern,Unincorporated Kern,1970," 205,014 "
Kern,Wasco,1970," 8,269 "
Kings,Avenal,1970, -   
Kings,Corcoran,1970," 5,249 "
Kings,Hanford,1970," 15,179 "
Kings,Lemoore,1970," 4,219 "
Kings,Unincorporated Kings,1970," 42,070 "
Lake,Clearlake,1970, -   
Lake,Lakeport,1970," 3,005 "
Lake,Unincorporated Lake,1970," 16,543 "
Lassen,Susanville,1970," 6,608 "
Lassen,Unincorporated Lassen,1970," 10,188 "
Los Angeles,Agoura Hills,1970, -   
Los Angeles,Alhambra,1970," 62,125 "
Los Angeles,Arcadia,1970," 45,138 "
Los Angeles,Artesia,1970," 14,757 "
Los Angeles,Avalon,1970," 1,520 "
Los Angeles,Azusa,1970," 25,217 "
Los Angeles,Baldwin Park,1970," 47,285 "
Los Angeles,Bell,1970," 22,098 "
Los Angeles,Bell Gardens,1970," 29,308 "
Los Angeles,Bellflower,1970," 52,334 "
Los Angeles,Beverly Hills,1970," 33,416 "
Los Angeles,Bradbury,1970, 838 
Los Angeles,Burbank,1970," 88,871 "
Los Angeles,Calabasas,1970, -   
Los Angeles,Carson,1970," 72,358 "
Los Angeles,Cerritos,1970," 15,856 "
Los Angeles,Claremont,1970," 24,776 "
Los Angeles,Commerce,1970," 10,635 "
Los Angeles,Compton,1970," 78,547 "
Los Angeles,Covina,1970," 30,395 "
Los Angeles,Cudahy,1970," 16,998 "
Los Angeles,Culver City,1970," 34,451 "
Los Angeles,Diamond Bar,1970, -   
Los Angeles,Downey,1970," 88,573 "
Los Angeles,Duarte,1970," 14,981 "
Los Angeles,El Monte,1970," 69,892 "
Los Angeles,El Segundo,1970," 15,620 "
Los Angeles,Gardena,1970," 41,021 "
Los Angeles,Glendale,1970," 132,664 "
Los Angeles,Glendora,1970," 31,380 "
Los Angeles,Hawaiian Gardens,1970," 9,052 "
Los Angeles,Hawthorne,1970," 53,304 "
Los Angeles,Hermosa Beach,1970," 17,412 "
Los Angeles,Hidden Hills,1970," 1,529 "
Los Angeles,Huntington Park,1970," 33,482 "
Los Angeles,Industry,1970, 712 
Los Angeles,Inglewood,1970," 89,985 "
Los Angeles,Irwindale,1970, 784 
Los Angeles,La Canada Flintridge,1970, -   
Los Angeles,La Habra Heights,1970, -   
Los Angeles,La Mirada,1970," 30,808 "
Los Angeles,La Puente,1970," 31,092 "
Los Angeles,La Verne,1970," 12,965 "
Los Angeles,Lakewood,1970," 83,025 "
Los Angeles,Lancaster,1970, -   
Los Angeles,Lawndale,1970," 24,825 "
Los Angeles,Lomita,1970," 19,784 "
Los Angeles,Long Beach,1970," 358,879 "
Los Angeles,Los Angeles,1970," 2,811,801 "
Los Angeles,Lynwood,1970," 43,354 "
Los Angeles,Malibu,1970, -   
Los Angeles,Manhattan Beach,1970," 35,352 "
Los Angeles,Maywood,1970," 16,996 "
Los Angeles,Monrovia,1970," 30,562 "
Los Angeles,Montebello,1970," 42,807 "
Los Angeles,Monterey Park,1970," 49,166 "
Los Angeles,Norwalk,1970," 90,164 "
Los Angeles,Palmdale,1970," 8,511 "
Los Angeles,Palos Verdes Estates,1970," 13,631 "
Los Angeles,Paramount,1970," 34,734 "
Los Angeles,Pasadena,1970," 112,951 "
Los Angeles,Pico Rivera,1970," 54,170 "
Los Angeles,Pomona,1970," 87,384 "
Los Angeles,Rancho Palos Verdes,1970, -   
Los Angeles,Redondo Beach,1970," 57,451 "
Los Angeles,Rolling Hills,1970," 2,050 "
Los Angeles,Rolling Hills Estates,1970," 6,735 "
Los Angeles,Rosemead,1970," 40,972 "
Los Angeles,San Dimas,1970," 15,692 "
Los Angeles,San Fernando,1970," 16,571 "
Los Angeles,San Gabriel,1970," 29,336 "
Los Angeles,San Marino,1970," 14,177 "
Los Angeles,Santa Clarita,1970, -   
Los Angeles,Santa Fe Springs,1970," 14,750 "
Los Angeles,Santa Monica,1970," 88,289 "
Los Angeles,Sierra Madre,1970," 12,140 "
Los Angeles,Signal Hill,1970," 5,588 "
Los Angeles,South El Monte,1970," 13,443 "
Los Angeles,South Gate,1970," 56,909 "
Los Angeles,South Pasadena,1970," 22,979 "
Los Angeles,Temple City,1970," 31,034 "
Los Angeles,Torrance,1970," 134,968 "
Los Angeles,Unincorporated Los Angeles,1970," 1,031,471 "
Los Angeles,Vernon,1970, 261 
Los Angeles,Walnut,1970," 5,992 "
Los Angeles,West Covina,1970," 68,034 "
Los Angeles,West Hollywood,1970, -   
Los Angeles,Westlake Village,1970, -   
Los Angeles,Whittier,1970," 72,863 "
Madera,Chowchilla,1970," 4,349 "
Madera,Madera,1970," 16,044 "
Madera,Unincorporated Madera,1970," 21,126 "
Marin,Belvedere,1970," 2,599 "
Marin,Corte Madera,1970," 8,464 "
Marin,Fairfax,1970," 7,661 "
Marin,Larkspur,1970," 10,487 "
Marin,Mill Valley,1970," 12,942 "
Marin,Novato,1970," 31,006 "
Marin,Ross,1970," 2,742 "
Marin,San Anselmo,1970," 13,031 "
Marin,San Rafael,1970," 38,977 "
Marin,Sausalito,1970," 6,158 "
Marin,Tiburon,1970," 6,209 "
Marin,Unincorporated Marin,1970," 68,376 "
Mariposa,Unincorporated Mariposa,1970," 6,015 "
Mendocino,Fort Bragg,1970," 4,455 "
Mendocino,Point Arena,1970, 424 
Mendocino,Ukiah,1970," 10,095 "
Mendocino,Unincorporated Mendocino,1970," 33,036 "
Mendocino,Willits,1970," 3,091 "
Merced,Atwater,1970," 11,640 "
Merced,Dos Palos,1970," 2,496 "
Merced,Gustine,1970," 2,793 "
Merced,Livingston,1970," 2,588 "
Merced,Los Banos,1970," 9,188 "
Merced,Merced,1970," 22,670 "
Merced,Unincorporated Merced,1970," 53,254 "
Modoc,Alturas,1970," 2,799 "
Modoc,Unincorporated Modoc,1970," 4,670 "
Mono,Mammoth Lakes,1970, -   
Mono,Unincorporated Mono,1970," 4,016 "
Monterey,Carmel-by-the-Sea,1970," 4,525 "
Monterey,Del Rey Oaks,1970," 1,823 "
Monterey,Gonzales,1970," 2,575 "
Monterey,Greenfield,1970," 2,608 "
Monterey,King City,1970," 3,717 "
Monterey,Marina,1970, -   
Monterey,Monterey,1970," 26,302 "
Monterey,Pacific Grove,1970," 13,505 "
Monterey,Salinas,1970," 58,896 "
Monterey,Sand City,1970, 212 
Monterey,Seaside,1970," 36,883 "
Monterey,Soledad,1970," 4,222 "
Monterey,Unincorporated Monterey,1970," 92,182 "
Napa,American Canyon     ,1970, -   
Napa,Calistoga,1970," 1,882 "
Napa,Napa,1970," 36,103 "
Napa,St. Helena,1970," 3,173 "
Napa,Unincorporated Napa,1970," 35,650 "
Napa,Yountville,1970," 2,332 "
Nevada,Grass Valley,1970," 5,149 "
Nevada,Nevada City,1970," 2,314 "
Nevada,Truckee             ,1970, -   
Nevada,Unincorporated Nevada,1970," 18,883 "
Orange,Aliso Viejo,1970, -   
Orange,Anaheim,1970," 166,408 "
Orange,Brea,1970," 18,447 "
Orange,Buena Park,1970," 63,646 "
Orange,Costa Mesa,1970," 72,660 "
Orange,Cypress,1970," 31,569 "
Orange,Dana Point,1970, -   
Orange,Fountain Valley,1970," 31,886 "
Orange,Fullerton,1970," 85,987 "
Orange,Garden Grove,1970," 121,155 "
Orange,Huntington Beach,1970," 115,960 "
Orange,Irvine,1970, -   
Orange,La Habra,1970," 41,350 "
Orange,La Palma,1970," 9,687 "
Orange,Laguna Beach,1970," 14,550 "
Orange,Laguna Hills,1970, -   
Orange,Laguna Niguel,1970, -   
Orange,Laguna Woods,1970, -   
Orange,Lake Forest,1970, -   
Orange,Lake Forest         ,1970, -   
Orange,Los Alamitos,1970," 11,346 "
Orange,Mission Viejo,1970, -   
Orange,Newport Beach,1970," 49,582 "
Orange,Orange,1970," 77,365 "
Orange,Placentia,1970," 21,948 "
Orange,Rancho Santa Margarita,1970, -   
Orange,San Clemente,1970," 17,063 "
Orange,San Juan Capistrano ,1970," 3,781 "
Orange,Santa Ana,1970," 155,710 "
Orange,Seal Beach,1970," 24,441 "
Orange,Stanton,1970," 18,186 "
